,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blue_top_lane_first_tower,blue_mid_lane_first_tower,blue_bot_lane_first_tower,red_top_lane_first_tower,red_mid_lane_first_tower,red_bot_lane_first_tower,blue_earth_dragon,blue_air_dragon,blue_fire_dragon,blue_water_dragon,blue_elder_dragon,red_earth_dragon,red_air_dragon,red_fire_dragon,red_water_dragon,red_elder_dragon,blueWins
5662,27540,2560,46,9.2,295,72,0,17,11,21,34,11,0,0,0,0,0,0,0,1,2,1,28839,1181,46,9.2,372,69,0,11,17,21,33,7,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12339,25858,4348,46,9.2,355,88,0,9,9,11,29,12,1,0,1,0,1,0,0,0,1,1,28281,4841,45,9.0,353,79,0,9,9,13,31,8,0,0,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23217,25072,4092,45,9.0,336,56,0,10,15,15,35,14,0,0,0,0,0,0,0,0,0,1,28533,5806,48,9.6,386,72,0,15,10,23,42,13,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11032,24142,2607,45,9.0,290,80,0,10,16,11,32,10,0,0,1,0,0,1,0,1,1,0,29485,3365,48,9.6,353,63,0,16,10,15,30,10,1,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24973,23557,2992,46,9.2,353,79,0,5,9,6,30,4,0,0,0,0,0,0,0,0,0,0,28031,5334,47,9.4,419,97,0,9,5,14,34,4,1,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17125,26995,3750,45,9.0,347,92,0,10,14,13,33,11,1,0,1,0,1,0,0,0,0,1,29310,2645,47,9.4,406,87,0,14,10,12,32,14,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15243,31239,4683,47,9.4,349,63,0,15,16,17,32,7,1,0,3,1,1,1,0,0,0,1,25612,3162,47,9.4,294,86,0,16,15,13,109,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
19344,28405,5780,45,9.0,316,72,0,17,15,26,25,4,0,0,0,0,0,0,0,0,1,1,28698,5103,47,9.4,336,75,0,15,17,18,23,7,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
17837,27884,2754,47,9.4,357,73,0,11,5,28,22,7,1,0,1,0,1,0,0,0,1,1,23319,3439,44,8.8,344,104,0,5,11,7,27,3,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
8292,49980,7280,74,14.8,186,0,0,43,37,92,15,0,1,0,1,1,0,0,0,0,0,0,47936,2296,73,14.6,159,0,0,37,43,87,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
577,28957,3302,48,9.6,371,69,0,13,4,14,35,14,1,0,2,1,1,0,0,0,1,1,24479,1769,44,8.8,374,86,0,4,13,5,36,8,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
14326,28101,2346,48,9.6,368,111,0,14,11,21,27,14,0,0,0,0,0,0,0,1,2,0,27552,3437,46,9.2,332,70,0,11,14,21,38,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
7889,33719,4231,49,9.8,340,91,0,24,12,33,36,13,1,0,2,1,0,1,0,1,1,1,25635,2755,46,9.2,337,93,0,12,24,13,58,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13616,22248,2578,43,8.6,307,58,0,7,18,5,27,12,0,0,0,0,0,0,0,0,0,0,30339,3414,50,10.0,375,87,0,18,7,20,137,11,1,0,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
12455,25123,2585,45,9.0,370,108,0,5,8,7,26,12,1,0,1,0,1,0,0,1,1,1,25638,2068,47,9.4,364,85,0,8,5,15,106,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6667,22214,2599,44,8.8,372,69,0,4,14,4,33,4,0,0,0,0,0,0,0,0,0,0,29935,3425,48,9.6,376,101,0,14,4,25,30,10,1,0,2,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7416,5036,2686,11,2.2,38,16,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,4841,2341,13,2.6,50,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21106,29308,2493,48,9.6,380,85,0,15,7,14,38,15,1,0,2,1,1,0,0,1,1,1,22929,1977,41,8.2,286,75,0,7,15,10,39,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5180,24965,1815,44,8.8,293,101,0,10,14,25,34,14,0,0,0,0,0,0,0,0,1,0,29688,2518,45,9.0,349,79,0,14,10,37,98,14,1,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3947,24843,5443,46,9.2,379,86,0,8,6,12,46,12,0,0,0,0,0,0,0,1,1,0,26054,5259,47,9.4,388,80,0,6,8,8,34,11,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18022,32061,4258,47,9.4,335,90,0,19,14,26,61,4,1,0,2,1,0,1,0,1,1,1,28188,2108,47,9.4,326,84,0,14,19,13,65,10,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
16263,24840,4330,44,8.8,337,84,0,6,14,6,26,8,1,0,1,0,1,0,0,0,0,1,28474,2829,46,9.2,377,107,0,14,6,14,31,7,0,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3284,21031,2941,41,8.2,255,89,0,5,19,6,26,2,0,0,0,0,0,0,0,0,0,1,32581,1451,51,10.2,373,87,0,19,5,17,85,7,1,0,4,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4269,26218,2958,46,9.2,365,101,0,8,8,6,33,9,1,0,1,0,1,0,0,0,0,1,25867,2897,46,9.2,373,75,0,8,8,18,42,7,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
19425,27739,3879,46,9.2,388,99,0,10,7,11,27,10,0,0,1,1,0,0,0,0,0,1,25187,3527,44,8.8,390,77,0,7,10,11,31,10,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11227,27603,3618,44,8.8,295,73,0,13,13,22,36,9,1,0,1,1,0,0,0,0,1,1,29019,2809,45,9.0,372,71,0,13,13,17,95,10,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1624,22512,2552,44,8.8,384,71,0,4,14,4,30,8,0,0,0,0,0,0,0,0,0,0,31866,3181,50,10.0,450,110,0,14,4,13,27,7,1,0,3,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8538,28076,7346,48,9.6,369,68,0,13,10,11,22,6,0,0,0,0,0,0,0,1,1,1,23686,4276,44,8.8,328,56,0,10,13,7,28,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11509,49598,7558,74,14.8,157,0,0,35,25,95,0,0,1,1,4,4,0,0,1,0,0,0,44368,3210,69,13.8,164,0,0,25,35,67,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8193,27395,4465,44,8.8,319,70,0,12,14,13,32,9,0,0,1,0,0,1,0,1,1,0,26914,2069,45,9.0,319,75,0,14,12,14,29,7,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
21748,25366,1956,44,8.8,358,64,0,11,17,9,37,10,0,0,0,0,0,0,0,1,1,1,28692,4812,50,10.0,373,96,0,17,11,28,29,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
25741,52693,4188,76,15.2,172,0,0,46,37,127,0,0,1,1,4,4,0,0,1,0,0,0,50285,6137,75,15.0,179,0,0,37,46,100,40,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7948,23257,2932,43,8.6,252,79,0,9,12,12,76,13,0,0,0,0,0,0,0,1,1,1,29070,1820,46,9.2,378,108,0,12,9,19,92,15,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26415,27471,4356,45,9.0,338,74,0,13,7,13,49,8,0,0,0,0,0,0,0,1,1,1,21832,3507,43,8.6,271,61,0,7,13,8,26,4,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15180,25945,1917,45,9.0,358,79,0,10,19,7,32,6,0,0,0,0,0,0,0,0,0,0,29354,2268,47,9.4,324,100,0,19,10,21,24,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3122,29942,3822,48,9.6,363,89,0,15,11,17,63,10,1,0,2,0,2,0,0,1,2,1,27268,658,46,9.2,321,68,0,11,15,12,25,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
22526,28590,6070,47,9.4,363,75,0,14,9,26,41,13,0,0,0,0,0,0,0,1,1,1,25821,2365,47,9.4,334,88,0,9,14,13,35,16,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3540,26016,3366,47,9.4,356,71,0,13,9,11,76,11,0,0,0,0,0,0,0,1,1,0,26394,2594,45,9.0,342,74,0,9,13,10,62,14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
790,24655,3860,47,9.4,409,81,0,6,12,8,53,12,0,0,0,0,0,0,0,0,1,0,28433,4318,49,9.8,396,83,0,12,6,17,34,15,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
17776,26888,5378,48,9.6,359,71,0,9,8,11,51,7,0,0,2,1,0,1,0,1,1,0,25838,2135,45,9.0,336,73,0,8,9,6,35,7,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
499,25550,3095,45,9.0,344,65,0,13,9,19,36,8,0,0,0,0,0,0,0,1,1,1,25578,4118,46,9.2,400,68,0,9,13,11,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1576,47972,3602,73,14.6,183,0,0,40,34,97,8,0,0,0,1,1,0,0,0,0,0,0,47129,4494,72,14.4,159,0,0,34,40,74,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15559,23636,3470,43,8.6,326,72,0,6,15,5,32,6,0,0,0,0,0,0,0,0,1,1,30440,4369,50,10.0,376,88,0,15,6,26,32,11,1,0,4,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
6206,30935,3055,49,9.8,268,78,0,20,13,26,30,4,1,0,2,1,0,1,0,0,0,1,26069,1144,48,9.6,308,93,0,13,20,15,24,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
335,25940,2875,44,8.8,339,70,0,8,11,1,34,12,1,0,2,0,1,1,0,0,0,1,25226,1921,45,9.0,317,81,0,11,8,16,33,12,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
18866,28114,2314,46,9.2,359,85,0,13,10,20,31,9,0,0,1,0,0,1,0,1,1,0,29078,4628,45,9.0,404,85,0,10,13,14,40,14,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8969,25404,3859,47,9.4,333,71,0,11,14,11,42,8,0,0,0,0,0,0,0,1,1,0,27168,3298,47,9.4,313,79,0,14,11,17,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6232,30197,4422,49,9.8,419,70,0,14,9,18,31,9,0,0,1,0,0,1,0,0,1,0,25677,1650,44,8.8,357,80,0,9,14,10,26,6,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9897,21817,3022,43,8.6,320,47,0,7,18,5,28,5,0,0,0,0,0,0,0,0,0,0,30044,4394,48,9.6,361,98,0,18,7,21,31,9,1,0,2,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13267,20926,5826,35,7.0,232,44,0,9,1,12,10,2,1,1,5,5,0,0,1,0,0,1,10735,3535,25,5.0,133,32,0,1,9,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24424,31753,5018,49,9.8,391,89,0,12,7,14,70,9,1,0,5,2,2,1,0,0,0,1,22193,3054,42,8.4,308,74,0,7,12,5,58,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13805,27475,1885,45,9.0,366,61,0,12,14,19,36,3,0,0,1,0,1,0,0,0,0,1,30056,3356,51,10.2,380,120,0,14,12,19,27,11,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15050,22259,1959,43,8.6,341,73,0,6,11,2,22,10,0,0,0,0,0,0,0,0,0,1,27129,4399,45,9.0,419,67,0,11,6,14,34,8,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19192,27148,3558,46,9.2,354,76,0,12,7,12,32,12,1,0,1,0,0,1,0,1,2,0,24088,5988,46,9.2,324,102,0,7,12,6,112,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
10290,24042,1352,45,9.0,391,83,0,3,7,1,34,12,1,0,1,0,0,1,0,0,1,1,23322,1022,46,9.2,345,67,0,7,3,10,35,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4560,49149,1739,72,14.4,161,0,0,33,38,83,0,0,0,1,3,3,0,0,1,0,0,0,50018,6515,75,15.0,201,0,0,38,33,85,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2621,30283,5535,47,9.4,327,64,0,20,7,33,34,12,0,0,3,2,0,1,0,0,0,0,25720,5018,43,8.6,343,96,0,7,20,6,27,8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2112,22088,3003,41,8.2,282,60,0,8,20,10,32,2,0,0,0,0,0,0,0,1,1,0,36041,3306,49,9.8,365,100,0,20,8,20,36,10,1,0,5,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12778,31553,3578,49,9.8,397,110,0,15,11,15,52,9,1,0,2,1,1,0,0,0,0,1,25349,2819,44,8.8,314,71,0,11,15,16,29,13,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
20053,29027,5902,45,9.0,263,89,0,16,16,23,75,15,0,0,2,2,0,0,0,0,0,1,27455,2725,43,8.6,316,56,0,16,16,26,69,13,1,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22032,30534,4186,49,9.8,307,73,0,25,13,27,29,11,1,0,1,0,1,0,0,1,1,1,24951,1884,44,8.8,310,69,0,13,25,9,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20014,22478,7608,38,7.6,224,48,0,13,2,16,46,6,1,0,5,5,0,0,0,1,1,1,13286,-109,27,5.4,163,40,0,2,13,0,39,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25377,23486,1901,44,8.8,301,44,0,10,18,7,23,6,0,0,0,0,0,0,0,1,1,0,30950,4635,49,9.8,413,84,0,18,10,16,34,6,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9061,24089,2329,43,8.6,352,40,0,6,13,7,25,7,0,0,0,0,0,0,0,0,0,0,31122,1892,46,9.2,373,118,0,13,6,19,54,4,1,0,3,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14239,22609,1464,43,8.6,317,72,0,7,16,9,70,14,0,0,0,0,0,0,0,0,0,0,32604,4111,51,10.2,448,122,0,16,7,16,103,11,1,0,3,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3479,24435,1615,46,9.2,410,81,0,6,8,6,33,12,0,0,0,0,0,0,0,1,1,0,25888,2823,46,9.2,358,73,0,8,6,14,32,8,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20399,70427,6189,72,14.4,337,36,0,50,54,64,40,1,1,0,4,0,1,3,1,0,0,0,72391,4248,75,15.0,353,138,0,54,50,51,251,2,0,1,7,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
6252,25708,4898,44,8.8,343,42,0,11,20,16,32,10,0,0,0,0,0,0,0,0,0,0,34387,6164,49,9.8,384,102,0,20,11,22,29,11,1,0,4,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7534,27463,3498,48,9.6,365,96,0,14,13,18,66,9,0,0,0,0,0,0,0,1,1,0,30590,2998,48,9.6,400,77,0,13,14,12,60,7,1,0,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
6035,27017,2302,44,8.8,283,56,0,14,14,31,33,18,1,0,1,0,0,1,0,1,1,1,29088,5668,45,9.0,394,59,0,14,14,22,38,10,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15448,23278,4528,41,8.2,280,74,0,7,24,15,16,8,0,0,1,1,0,0,0,0,0,0,32917,5894,49,9.8,372,75,0,24,7,30,31,4,1,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14994,27254,4984,48,9.6,356,72,0,11,7,14,34,18,1,0,1,1,0,0,0,1,1,1,24472,3797,44,8.8,356,87,0,7,11,9,77,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6703,45905,2065,67,13.4,179,0,0,24,35,57,0,0,0,0,1,1,0,0,0,0,0,0,48078,4967,72,14.4,174,0,0,35,24,87,0,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3615,29565,2457,49,9.8,402,85,0,16,5,21,29,8,0,0,0,0,0,0,0,1,2,1,22826,2486,44,8.8,377,62,0,5,16,4,35,11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2003,25328,1615,47,9.4,355,87,0,9,7,14,34,11,0,0,0,0,0,0,0,0,0,0,25862,2047,47,9.4,357,117,0,7,9,7,104,11,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1330,31161,3586,44,8.8,258,58,0,18,7,38,27,6,0,1,4,3,1,0,1,1,2,1,20393,6448,34,6.8,139,66,0,7,18,9,14,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2855,29142,2670,47,9.4,417,76,0,10,6,18,49,16,1,0,2,0,0,2,0,1,2,0,24823,3863,44,8.8,330,87,0,6,10,11,33,12,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
12166,25494,4089,44,8.8,310,61,0,10,11,10,40,13,0,0,0,0,0,0,0,0,0,1,27982,1611,47,9.4,410,89,0,11,10,18,27,11,1,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
26334,51110,6970,77,15.4,181,0,0,52,29,120,17,0,1,1,2,2,0,0,1,0,0,0,47201,2451,71,14.2,173,0,0,29,52,43,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22026,30326,6476,49,9.8,433,100,0,11,7,13,64,17,1,0,2,0,2,0,0,1,1,1,24251,3361,45,9.0,375,65,0,7,11,11,31,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
18421,28280,1797,47,9.4,417,60,0,13,12,14,28,12,1,0,1,0,1,0,0,1,1,0,28764,4037,49,9.8,359,100,0,12,13,17,32,13,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11899,25902,2452,46,9.2,349,71,0,9,8,12,26,3,0,0,1,0,1,0,0,1,1,1,25960,2663,46,9.2,357,87,0,8,9,14,34,7,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
14938,28632,2742,48,9.6,342,84,0,13,7,23,37,9,1,0,1,0,0,1,0,0,0,1,24190,3400,46,9.2,350,82,0,7,13,10,30,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7682,24843,2371,45,9.0,365,70,0,8,13,9,46,16,0,0,1,0,1,0,0,0,0,1,28094,1335,47,9.4,338,87,0,13,8,18,42,14,1,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
26082,29970,7000,50,10.0,397,104,0,13,4,15,31,9,1,0,3,2,0,1,0,0,1,1,21090,3140,42,8.4,305,67,0,4,13,6,23,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4072,46481,4351,72,14.4,170,0,0,27,41,70,30,0,0,0,0,0,0,0,0,0,0,0,48927,2484,73,14.6,163,0,0,41,27,99,0,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10936,51172,6172,75,15.0,157,0,0,42,43,91,0,0,0,0,1,1,0,0,0,0,0,0,48280,3410,73,14.6,158,0,0,43,42,83,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18664,22196,1721,44,8.8,341,76,0,4,8,6,26,6,0,0,0,0,0,0,0,0,1,0,26062,3834,47,9.4,381,76,0,8,4,7,20,10,1,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
5929,28983,932,48,9.6,362,105,0,11,11,13,52,16,1,0,2,0,2,0,0,0,0,1,27189,3479,45,9.0,355,46,0,11,11,17,31,12,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6126,27761,2571,47,9.4,393,79,0,11,15,11,30,15,0,0,1,0,0,1,0,0,0,0,28887,1662,48,9.6,379,69,0,15,11,21,38,10,1,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
26383,24906,2576,44,8.8,363,53,0,9,13,8,28,5,0,0,1,0,1,0,0,1,1,1,30879,3735,50,10.0,387,101,0,13,9,13,37,9,1,0,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
13697,27024,5984,46,9.2,323,83,0,12,12,14,24,5,1,0,1,0,1,0,0,0,0,1,26944,4744,46,9.2,352,80,0,12,12,16,34,9,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1703,27071,2983,47,9.4,376,87,0,8,10,8,35,13,1,0,2,0,1,1,0,1,2,1,24217,3702,46,9.2,303,79,0,10,8,17,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
18347,28577,5382,49,9.8,376,79,0,13,9,14,36,16,1,0,2,0,1,1,0,0,0,1,24806,5536,46,9.2,361,76,0,9,13,6,94,16,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20608,27389,4229,46,9.2,383,103,0,9,14,8,31,10,1,0,1,0,1,0,0,0,0,1,27318,2203,46,9.2,338,63,0,14,9,24,37,5,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19074,48333,6698,73,14.6,181,0,0,32,33,102,0,10,1,0,1,1,0,0,0,0,0,0,49334,6479,72,14.4,172,0,0,33,32,98,35,0,0,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18609,26867,3442,47,9.4,331,101,0,11,15,10,37,13,1,0,1,0,0,1,0,1,1,1,26495,1495,47,9.4,356,77,0,15,11,8,53,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
25283,33370,5820,50,10.0,384,73,0,20,7,25,32,6,1,1,6,4,1,1,1,1,1,1,21224,3299,39,7.8,233,64,0,7,20,5,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13209,20361,2741,42,8.4,309,52,0,3,9,3,36,6,0,0,0,0,0,0,0,0,0,1,26888,3455,47,9.4,371,97,0,9,3,9,28,9,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21039,56185,8985,58,11.6,326,54,0,36,39,28,37,3,0,0,1,0,0,1,0,0,2,0,64476,9428,65,13.0,382,36,0,39,36,53,54,6,1,0,6,2,2,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
4874,25172,1852,45,9.0,363,64,0,8,13,11,34,7,1,0,1,0,1,0,0,0,0,0,26328,5033,46,9.2,374,68,0,13,8,12,104,14,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
