,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blue_top_lane_first_tower,blue_mid_lane_first_tower,blue_bot_lane_first_tower,red_top_lane_first_tower,red_mid_lane_first_tower,red_bot_lane_first_tower,blue_earth_dragon,blue_air_dragon,blue_fire_dragon,blue_water_dragon,blue_elder_dragon,red_earth_dragon,red_air_dragon,red_fire_dragon,red_water_dragon,red_elder_dragon,blueWins
24404,32918,3258,49,9.8,391,100,0,20,10,20,34,9,1,0,2,1,1,0,0,0,0,1,25640,2185,45,9.0,347,83,0,10,20,10,33,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25809,4254,2254,11,2.2,24,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4582,2082,12,2.4,49,11,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23008,21712,2327,41,8.2,294,74,0,6,13,9,25,2,0,0,0,0,0,0,0,0,0,0,32556,7331,48,9.6,389,81,0,13,6,24,43,7,1,0,6,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17616,24826,3386,48,9.6,350,98,0,9,5,9,32,13,0,0,0,0,0,0,0,1,2,1,21647,2587,46,9.2,317,85,0,5,9,5,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
13535,24752,4107,45,9.0,368,64,0,10,16,12,39,10,0,0,0,0,0,0,0,1,2,0,30657,6027,50,10.0,373,116,0,16,10,19,29,20,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10960,26457,2252,46,9.2,364,80,0,10,15,13,30,8,0,0,0,0,0,0,0,0,0,0,27764,2199,48,9.6,336,81,0,15,10,16,37,7,1,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19828,30162,3742,48,9.6,337,100,0,18,7,20,69,6,1,0,1,0,0,1,0,1,2,1,23254,1774,45,9.0,341,70,0,7,18,10,56,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
8847,27230,4605,49,9.8,426,83,0,10,12,14,56,9,0,0,0,0,0,0,0,0,1,0,27346,4011,49,9.8,367,85,0,12,10,10,27,5,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12911,49641,3248,74,14.8,180,0,0,39,36,88,31,0,0,1,1,1,0,0,1,0,0,0,48931,3831,75,15.0,204,0,0,36,39,76,0,10,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24311,25340,2823,46,9.2,366,76,0,9,12,13,31,9,0,0,0,0,0,0,0,0,0,0,28029,3987,48,9.6,381,90,0,12,9,12,39,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
22426,28200,2850,44,8.8,290,78,0,15,18,20,31,12,1,0,1,0,0,1,0,1,1,1,28647,3907,48,9.6,375,58,0,18,15,15,29,14,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26009,27897,3314,48,9.6,386,72,0,15,13,13,29,10,0,0,0,0,0,0,0,1,1,0,26624,3074,47,9.4,325,82,0,13,15,17,28,10,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
17982,24219,2544,45,9.0,336,74,0,7,9,9,34,9,0,0,0,0,0,0,0,0,0,1,27769,3615,48,9.6,445,102,0,9,7,14,29,12,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10391,25597,3492,44,8.8,387,64,0,10,12,16,30,14,0,0,0,0,0,0,0,0,1,1,28271,4631,48,9.6,370,106,0,12,10,13,39,8,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
4640,30298,6098,49,9.8,397,90,0,13,13,19,55,11,0,0,0,0,0,0,0,0,0,1,28022,1992,46,9.2,383,62,0,13,13,14,35,11,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2399,27335,3775,46,9.2,401,84,0,7,9,13,32,14,1,0,2,0,1,1,0,0,0,1,24742,4642,45,9.0,369,76,0,9,7,14,32,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7310,28843,5643,47,9.4,380,59,0,16,6,16,40,12,0,0,1,0,0,1,0,0,0,1,24342,4577,46,9.2,362,81,0,6,16,3,102,12,1,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
17276,25535,1820,45,9.0,348,71,0,8,11,7,48,10,0,0,0,0,0,0,0,1,1,1,26783,3418,48,9.6,368,96,0,11,8,19,36,11,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23371,22929,2929,45,9.0,362,96,0,5,12,4,80,7,0,0,0,0,0,0,0,1,1,0,28231,1846,49,9.8,400,85,0,12,5,10,34,40,1,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
